loc,length,bug type,approach
171,24,Safe,Etherscan
200,4,Safe,Etherscan
206,8,Safe,Etherscan
216,5,Safe,Etherscan
227,16,Safe,Etherscan
245,32,Safe,Etherscan
278,40,Safe,Etherscan
319,40,Safe,Etherscan
361,31,Safe,Etherscan
393,39,Safe,Etherscan
433,39,Safe,Etherscan
474,67,Safe,Etherscan
543,15,Safe,Etherscan
559,15,Safe,Etherscan
575,15,Safe,Etherscan
595,17,Safe,Etherscan
614,19,Safe,Etherscan
635,40,Safe,Etherscan
677,7,Safe,Etherscan
686,26,Safe,Etherscan
714,25,Safe,Etherscan
745,49,Safe,Etherscan
796,46,Safe,Etherscan
844,108,Safe,Etherscan
957,7,Safe,Etherscan
966,14,Safe,Etherscan
982,17,Safe,Etherscan
1004,17,Safe,Etherscan
1023,7,Safe,Etherscan
1032,32,Safe,Etherscan
1066,10,Safe,Etherscan
1078,17,Safe,Etherscan
1097,62,Safe,Etherscan
1161,12,Safe,Etherscan
1175,19,Safe,Etherscan
1196,20,time_manipulation,Etherscan
1218,52,Reentrancy,Etherscan
1271,10,Safe,Etherscan
1283,32,Safe,Etherscan
1317,18,Safe,Etherscan
1337,18,Safe,Etherscan
1357,24,Safe,Etherscan
1387,18,Safe,Etherscan
1488,7,Safe,Etherscan
1497,7,Safe,Etherscan
1506,7,Safe,Etherscan
1515,7,Safe,Etherscan
1544,63,Safe,Etherscan
1613,12,Safe,Etherscan
1627,8,Safe,Etherscan
1637,9,Safe,Etherscan
1648,13,Safe,Etherscan
1663,7,Safe,Etherscan
1672,17,Safe,Etherscan
