loc,length,bug type,approach
25,4,Safe,Etherscan
31,4,Safe,Etherscan
37,4,Safe,Etherscan
43,4,Safe,Etherscan
49,3,Safe,Etherscan
54,4,Safe,Etherscan
60,4,Safe,Etherscan
66,3,Safe,Etherscan
86,4,Safe,Etherscan
102,27,Reentrancy,Etherscan
131,3,Safe,Etherscan
136,19,Safe,Etherscan
157,7,Safe,Etherscan
166,11,Safe,Etherscan
179,16,Safe,Etherscan
197,13,Safe,Etherscan
212,8,Safe,Etherscan
222,10,Safe,Etherscan
234,7,Safe,Etherscan
263,4,Safe,Etherscan
268,3,Safe,Etherscan
273,5,Safe,Etherscan
297,5,Safe,Etherscan
304,5,Safe,Etherscan
311,5,Safe,Etherscan
318,5,Safe,Etherscan
325,4,Safe,Etherscan
331,3,Safe,Etherscan
336,3,Safe,Etherscan
341,3,Safe,Etherscan
346,8,Safe,Etherscan
356,3,Safe,Etherscan
382,4,Safe,Etherscan
388,12,Safe,Etherscan
402,15,Safe,Etherscan
419,5,Safe,Etherscan
426,5,Safe,Etherscan
433,5,Reentrancy,Etherscan
440,20,Safe,Etherscan
466,4,Safe,Etherscan
497,5,Safe,Etherscan
504,11,Safe,Etherscan
517,3,Safe,Etherscan
522,8,Safe,Etherscan
532,3,Safe,Etherscan
537,6,Safe,Etherscan
545,3,Safe,Etherscan
550,3,Safe,Etherscan
555,3,Safe,Etherscan
563,27,Safe,Etherscan
592,8,Safe,Etherscan
602,14,Safe,Etherscan
636,5,Safe,Etherscan
643,5,Safe,Etherscan
650,5,Safe,Etherscan
658,4,Safe,Etherscan
666,4,Safe,Etherscan
672,6,Safe,Etherscan
680,6,Safe,Etherscan
688,3,Safe,Etherscan
695,3,Safe,Etherscan
699,4,Safe,Etherscan
704,3,Safe,Etherscan
